ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,SCAFFOLD_ACC,CHROMOSOME_ACC
UC_ERR1611385,ERZ1739892,PRJEB41812,ERS1336013,ERZ1739892.1-ERZ1739892.575,,
UC_ERR1297848,ERZ1739893,PRJEB41812,ERS1069684,ERZ1739893.1-ERZ1739893.159,,
UC_ERR1297779,ERZ1739894,PRJEB41812,ERS1069641,ERZ1739894.1-ERZ1739894.412,,
UC_SRR1635884,ERZ1739895,PRJEB41812,SRS734462,ERZ1739895.1-ERZ1739895.88,,
UC_ERR2014388,ERZ1739896,PRJEB41812,ERS1796513,ERZ1739896.1-ERZ1739896.270,,
UC_ERR1297818,ERZ1739897,PRJEB41812,ERS1069643,ERZ1739897.1-ERZ1739897.633,,
UC_ERR719382,ERZ1739898,PRJEB41812,ERS634967,ERZ1739898.1-ERZ1739898.726,,
UC_ERR1913222,ERZ1739899,PRJEB41812,ERS1647321,ERZ1739899.1-ERZ1739899.463,,
UC_ERR1611386,ERZ1739900,PRJEB41812,ERS1336014,ERZ1739900.1-ERZ1739900.564,,
UC_ERR695613,ERZ1739901,PRJEB41812,ERS625321,ERZ1739901.1-ERZ1739901.812,,
UC_ERR1913287,ERZ1739902,PRJEB41812,ERS1647283,ERZ1739902.1-ERZ1739902.59,,
UC_ERR1913246,ERZ1739903,PRJEB41812,ERS1647315,ERZ1739903.1-ERZ1739903.141,,
UC_ERR1809154,ERZ1739904,PRJEB41812,ERS1509327,ERZ1739904.1-ERZ1739904.214,,
UC_ERR1297809,ERZ1739905,PRJEB41812,ERS1069662,ERZ1739905.1-ERZ1739905.1569,,
UC_ERR634989,ERZ1739906,PRJEB41812,ERS482869,ERZ1739906.1-ERZ1739906.526,,
UC_ERR1611402,ERZ1739907,PRJEB41812,ERS1336030,ERZ1739907.1-ERZ1739907.59,,
UC_ERR1600437,ERZ1739908,PRJEB41812,ERS1324497,ERZ1739908.1-ERZ1739908.2,,
UC_ERR598788,ERZ1739909,PRJEB41812,ERS542292,ERZ1739909.1-ERZ1739909.44,,
UC_ERR719376,ERZ1739910,PRJEB41812,ERS634967,ERZ1739910.1-ERZ1739910.732,,
UC_ERR1022494,ERZ1739911,PRJEB41812,ERS853142,ERZ1739911.1-ERZ1739911.15,,
UC_ERR1022496,ERZ1739912,PRJEB41812,ERS853140,ERZ1739912.1-ERZ1739912.2,,
UC_ERR1809140,ERZ1739913,PRJEB41812,ERS1509319,ERZ1739913.1-ERZ1739913.316,,
